Clave,N1,N2,N3,N4,N5,N6,N7,Nivel,Sintoma,Grado,symptom_id,symptom_type
1,1,0,0,0,0,0,0,0,AHOGADOS POR INMERSION,,1000000,1
1,1,1,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1100000,1
1,2,1,2,0,0,0,0,0,1,    Esta consciente,,1200000,1
1,2,1,1,2,1,0,0,0,0,2,        Respira bien [Grado : 2],[Grado : 2],1210000,1
1,2,2,1,2,2,0,0,0,0,2,        No Respira bien [Grado : 1],[Grado : 1],1220000,1
2,2,0,0,0,0,0,0,0,ALTERACION DE LA AUDICION [Grado : 3],[Grado : 3],2000000,1
4,4,0,0,0,0,0,0,0,ACCIDENTE VEHICULAR [Grado : 1],[Grado : 1],4000000,1
5,5,0,0,0,0,0,0,0,ARRITMIAS [Nota : (REALIZAR ECG)],,5000000,1
5,1,5,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],5100000,1
5,2,5,2,0,0,0,0,0,1,    Esta consciente,,5200000,1
5,2,1,5,2,1,0,0,0,0,2,        Tiene dolor de pecho [Grado : 1],[Grado : 1],5210000,1
5,2,2,5,2,2,0,0,0,0,2,        No tiene dolor de pecho [Grado : 2],[Grado : 2],5220000,1
7,7,0,0,0,0,0,0,0,CONSTIPACION [Grado : 3],[Grado : 3],7000000,1
8,8,0,0,0,0,0,0,0,CONVULSIONES,,8000000,1
8,1,8,1,0,0,0,0,0,1,    Esta convulsionando ahora [Grado : 1],[Grado : 1],8100000,1
8,2,8,2,0,0,0,0,0,1,    No esta convulsionado ahora,,8200000,1
8,2,1,8,2,1,0,0,0,0,2,        No esta conciente [Grado : 1],[Grado : 1],8210000,1
8,2,2,8,2,2,0,0,0,0,2,        Esta conciente,,8220000,1
8,2,2,1,8,2,2,1,0,0,0,3,            Respira Mal [Grado : 2],[Grado : 2],8221000,1
8,2,2,2,8,2,2,2,0,0,0,3,            Respira bien [Grado : 3P],[Grado : 3P],8222000,1
9,9,0,0,0,0,0,0,0,TRASTORNOS DE CONDUCTA,,9000000,1
9,1,9,1,0,0,0,0,0,1,    Esta muy violento o agresivo [Grado : 2],[Grado : 2],9100000,1
9,2,9,2,0,0,0,0,0,1,    No esta violento o agresivo,,9200000,1
9,2,1,9,2,1,0,0,0,0,2,        Esta alcoholizado o consumió drogas [Grado : 2],[Grado : 2],9210000,1
9,2,2,9,2,2,0,0,0,0,2,        No esta alcoholizado ni consumió drogas,,9220000,1
9,2,2,1,9,2,2,1,0,0,0,3,            Tuvo trauma de craneo [Grado : 2],[Grado : 2],9221000,1
9,2,2,2,9,2,2,2,0,0,0,3,            No tuvo trama de craneo [Grado : 3],[Grado : 3],9222000,1
10,10,0,0,0,0,0,0,0,CONFUSION-OBNUBILACION,,10000000,1
10,1,10,1,0,0,0,0,0,1,    Respira Mal [Grado : 1],[Grado : 1],10100000,1
10,2,10,2,0,0,0,0,0,1,    Respira Bien,,10200000,1
10,2,1,10,2,1,0,0,0,0,2,        Esta palido o sudoroso [Grado : 2],[Grado : 2],10210000,1
10,2,2,10,2,2,0,0,0,0,2,        No esta palido ni sudoroso,,10220000,1
10,2,2,1,10,2,2,1,0,0,0,3,            Cuanto tiempo hace que esta con este cuadro,,10221000,1
10,2,2,1,1,10,2,2,1,1,0,0,4,                Menos de seis horas [Grado : 2],[Grado : 2],10221100,1
10,2,2,1,2,10,2,2,1,2,0,0,4,                Entre seis y doce horas [Grado : 3],[Grado : 3],10221200,1
10,2,2,1,3,10,2,2,1,3,0,0,4,                Mas de doce horas [Grado : 3],[Grado : 3],10221300,1
10,2,2,2,10,2,2,2,0,0,0,3,            Se desconoce el tiempo de evolución [Grado : 3],[Grado : 3],10222000,1
11,11,0,0,0,0,0,0,0,CAIDA DE ALTURA [Grado : 1],[Grado : 1],11000000,1
14,14,0,0,0,0,0,0,0,CEFALEA,,14000000,1
14,1,14,1,0,0,0,0,0,1,    Habla con dificultad [Grado : 2],[Grado : 2],14100000,1
14,2,14,2,0,0,0,0,0,1,    No Habla con dificultad,,14200000,1
14,2,1,14,2,1,0,0,0,0,2,        Presenta vómitos [Grado : 3],[Grado : 3],14210000,1
14,2,2,14,2,2,0,0,0,0,2,        No presenta vómitos [Grado : 3],[Grado : 3],14220000,1
15,15,0,0,0,0,0,0,0,DIARREA [Grado : 3],[Grado : 3],15000000,1
16,16,0,0,0,0,0,0,0,DEBILIDAD – DECAIMIENTO - PALIDEZ,,16000000,1
16,1,16,1,0,0,0,0,0,1,    No esta conciente [Grado : 1],[Grado : 1],16100000,1
16,2,16,2,0,0,0,0,0,1,    Esta conciente,,16200000,1
16,2,1,16,2,1,0,0,0,0,2,        Respira mal [Grado : 2],[Grado : 2],16210000,1
16,2,2,16,2,2,0,0,0,0,2,        Respira bien,,16220000,1
16,2,2,1,16,2,2,1,0,0,0,3,            Hace menos de 60 minutos [Grado : 3],[Grado : 3],16221000,1
16,2,2,2,16,2,2,2,0,0,0,3,            Hace mas de 60 minutos,,16222000,1
16,2,2,2,2,1,16,2,2,2,2,1,0,5,                    Tiene fiebre [Grado : 3],[Grado : 3],16222210,1
16,2,2,2,2,2,16,2,2,2,2,2,0,5,                    No tiene fiebre [Grado : 3],[Grado : 3],16222220,1
18.,18,0,0,0,0,0,0,0,DISNEA,,18000000,1
18,1,18,1,0,0,0,0,0,1,    Respira mal ahora,,18100000,1
18,1,1,18,1,1,0,0,0,0,2,        Tiene alt. de la conciencia [Grado : 1],[Grado : 1],18110000,1
18,1,2,18,1,2,0,0,0,0,2,        No tiene alt. de la conciencia,,18120000,1
18,1,2,1,18,1,2,1,0,0,0,3,            Esta azulado o morado [Grado : 1],[Grado : 1],18121000,1
18,1,2,2,18,1,2,2,0,0,0,3,            No esta azul ni morado,,18122000,1
18.1,2,2,1,18,1,2,2,1,0,0,4,                Tiene dificultad para hablar x la disnea [Grado: 2],[Grado: 2],18122100,1
18,1,2,2,2,18,1,2,2,2,0,0,4,                No tiene dificultad para hablar [Grado : 3P],[Grado : 3P],18122200,1
18,2,18,2,0,0,0,0,0,1,    Respira bien ahora,,18200000,1
18.2.1,18,2,1,0,0,0,0,2,        Tiene tos o fiebre [Grado : 3],[Grado : 3],18210000,1
18.2.2,18,2,2,0,0,0,0,2,        No tiene tos ni fiebre [Grado : 3],[Grado : 3],18220000,1
19,19,0,0,0,0,0,0,0,DOLOR ABDOMINAL,,19000000,1
19,1,19,1,0,0,0,0,0,1,    El dolor es en la parte superior del abdomen,,19100000,1
