Clave,N1,N2,N3,N4,N5,N6,N7,Nivel,Sintoma,Grado,symptom_id,symptom_type
1,1,0,0,0,0,0,0,0,AHOGADOS POR INMERSION,,1-1000000,1
"1,1",1,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-1100000,1
"1,2",1,2,0,0,0,0,0,1,    Esta consciente,,1-1200000,1
"1,2,1",1,2,1,0,0,0,0,2,        Respira bien [Grado : 2],[Grado : 2],1-1210000,1
"1,2,2",1,2,2,0,0,0,0,2,        No Respira bien [Grado : 1],[Grado : 1],1-1220000,1
2,2,0,0,0,0,0,0,0,ALTERACION DE LA AUDICION [Grado : 3],[Grado : 3],1-2000000,1
4,4,0,0,0,0,0,0,0,ACCIDENTE VEHICULAR [Grado : 1],[Grado : 1],1-4000000,1
5,5,0,0,0,0,0,0,0,ARRITMIAS [Nota : (REALIZAR ECG)],,1-5000000,1
"5,1",5,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-5100000,1
"5,2",5,2,0,0,0,0,0,1,    Esta consciente,,1-5200000,1
"5,2,1",5,2,1,0,0,0,0,2,        Tiene dolor de pecho [Grado : 1],[Grado : 1],1-5210000,1
"5,2,2",5,2,2,0,0,0,0,2,        No tiene dolor de pecho [Grado : 2],[Grado : 2],1-5220000,1
7,7,0,0,0,0,0,0,0,CONSTIPACION [Grado : 3],[Grado : 3],1-7000000,1
8,8,0,0,0,0,0,0,0,CONVULSIONES,,1-8000000,1
"8,1",8,1,0,0,0,0,0,1,    Esta convulsionando ahora [Grado : 1],[Grado : 1],1-8100000,1
"8,2",8,2,0,0,0,0,0,1,    No esta convulsionado ahora,,1-8200000,1
"8,2,1",8,2,1,0,0,0,0,2,        No está conciente [Grado : 1],[Grado : 1],1-8210000,1
"8,2,2",8,2,2,0,0,0,0,2,        Está conciente,,1-8220000,1
"8,2,2,1",8,2,2,1,0,0,0,3,            Respira Mal [Grado : 2],[Grado : 2],1-8221000,1
"8,2,2,2",8,2,2,2,0,0,0,3,            Respira bien [Grado : 3P],[Grado : 3P],1-8222000,1
9,9,0,0,0,0,0,0,0,TRASTORNOS DE CONDUCTA,,1-9000000,1
